Project_ID,Project_Name,Project_Type,Team_Size,Budget,Duration,Tech_Stack,Project_Phase,Risk_Description,Risk_Category,Risk_Severity,Risk_Impact,Risk_Status,Mitigation_Strategy,Outcome
P00001,Project 1,Infrastruktur,15,580,8,"C#, SQL Server",Eksekusi,Tujuan proyek tidak didefinisikan dengan baik,Waktu,High,High,Potensial,Jadwal ulang deployment pada malam hari,Berhasil
P00002,Project 2,ERP,5,344,10,"PHP, MySQL",Eksekusi,Error sistem saat UAT,Scope,High,High,Terjadi,Workshop bersama stakeholder,Tertunda
P00003,Project 3,Enterprise,7,379,14,"Python, Node-RED",Eksekusi,Dataset tidak cukup representatif,Waktu,Low,Low,Terjadi,Workshop bersama stakeholder,Berhasil
P00004,Project 4,Enterprise,15,830,5,"Flutter, Firebase",Perencanaan,Modul pembayaran gagal terkoneksi,Scope,High,High,Potensial,Jadwal ulang deployment pada malam hari,Tertunda
P00005,Project 5,AI / IoT,11,458,14,"Flutter, Firebase",Perencanaan,Estimasi waktu yang tidak realistis,SDM,Low,Medium,Terjadi,Jadwal ulang deployment pada malam hari,Gagal
P00006,Project 6,Enterprise,7,489,4,"Python, TensorFlow",Perencanaan,Error sistem saat UAT,Scope,Low,High,Potensial,Rekrut developer pengganti sementara,Tertunda
P00007,Project 7,Mobile App,6,306,15,"Laravel, MySQL",Eksekusi,Error sistem saat UAT,Waktu,High,Medium,Potensial,Revisi WBS dan perencanaan ulang,Berhasil
P00008,Project 8,ERP,4,383,7,"Python, Node-RED",Eksekusi,Salah konfigurasi pipeline CI/CD,Waktu,Low,Medium,Potensial,Tambahkan sesi dokumentasi di akhir proyek,Gagal
P00009,Project 9,Enterprise,9,657,11,"Python, TensorFlow",Penutupan,Tujuan proyek tidak didefinisikan dengan baik,SDM,Medium,Low,Terjadi,Tambahkan fallback koneksi & testing,Berhasil
P00010,Project 10,Mobile App,4,626,15,"Flutter, Firebase",Eksekusi,Modul pembayaran gagal terkoneksi,Scope,Medium,High,Terjadi,Audit ulang pipeline,Gagal
P00011,Project 11,AI,7,494,16,"PHP, MySQL",Perencanaan,Estimasi waktu yang tidak realistis,SDM,Medium,Low,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Berhasil
P00012,Project 12,ERP,10,729,7,"Java, SAP",Perencanaan,Kurangnya dokumentasi,Scope,Medium,Medium,Potensial,Audit ulang pipeline,Tertunda
P00013,Project 13,Mobile App,10,204,13,"Flutter, Firebase",Eksekusi,Server downtime during deployment,Waktu,Low,High,Terjadi,Tambahkan data latih dari proyek sebelumnya,Gagal
P00014,Project 14,AI / IoT,4,771,11,"Python, Node-RED",Eksekusi,Dataset tidak cukup representatif,Teknis,Medium,Medium,Potensial,Audit ulang pipeline,Tertunda
P00015,Project 15,AI / IoT,8,349,4,"PHP, MySQL",Eksekusi,Estimasi waktu yang tidak realistis,SDM,Low,Low,Potensial,Workshop bersama stakeholder,Berhasil
P00016,Project 16,Infrastruktur,12,513,5,"Python, Node-RED",Penutupan,Modul pembayaran gagal terkoneksi,SDM,Low,Low,Terjadi,Tambahkan fallback koneksi & testing,Berhasil
P00017,Project 17,AI / IoT,6,979,13,"AWS, Python",Perencanaan,Server downtime during deployment,Waktu,High,Medium,Terjadi,Workshop bersama stakeholder,Gagal
P00018,Project 18,Mobile App,15,686,9,"Python, TensorFlow",Penutupan,Kurangnya dokumentasi,Teknis,Low,Low,Potensial,Workshop bersama stakeholder,Berhasil
P00019,Project 19,Web Dev,8,543,5,"Java, SAP",Perencanaan,Salah konfigurasi pipeline CI/CD,Teknis,High,Medium,Potensial,Redundansi sensor dan buffer data,Berhasil
P00020,Project 20,AI / IoT,14,445,15,"Python, Node-RED",Perencanaan,Error sistem saat UAT,SDM,Low,High,Terjadi,Fix bug dan ulang UAT,Berhasil
P00021,Project 21,AI,14,439,10,"AWS, Python",Eksekusi,Sensor gagal mengirim data real-time,Waktu,Medium,Medium,Terjadi,Rekrut developer pengganti sementara,Berhasil
P00022,Project 22,Web Dev,6,263,13,"Java, SAP",Perencanaan,Salah konfigurasi pipeline CI/CD,Scope,Medium,Low,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Tertunda
P00023,Project 23,Mobile App,3,810,13,"AWS, Python",Eksekusi,Sensor gagal mengirim data real-time,SDM,Low,Low,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Gagal
P00024,Project 24,AI / IoT,12,740,4,"AWS, Python",Perencanaan,Developer utama mengundurkan diri,Waktu,High,High,Potensial,Rekrut developer pengganti sementara,Tertunda
P00025,Project 25,Infrastruktur,11,839,16,"Laravel, MySQL",Eksekusi,Server downtime during deployment,SDM,Medium,Medium,Potensial,Rekrut developer pengganti sementara,Gagal
